true_label,predicted_label,true_label_name,predicted_label_name
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
1,1,Mild,Mild
2,2,Moderate,Moderate
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
3,3,Severe,Severe
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
4,4,Proliferative,Proliferative
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
2,2,Moderate,Moderate
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
4,4,Proliferative,Proliferative
1,0,Mild,No DR
0,0,No DR,No DR
1,1,Mild,Mild
3,4,Severe,Proliferative
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
1,1,Mild,Mild
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
4,4,Proliferative,Proliferative
2,2,Moderate,Moderate
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
2,2,Moderate,Moderate
2,2,Moderate,Moderate
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
2,2,Moderate,Moderate
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
1,1,Mild,Mild
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
3,3,Severe,Severe
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
4,4,Proliferative,Proliferative
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
3,3,Severe,Severe
2,2,Moderate,Moderate
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
4,4,Proliferative,Proliferative
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
1,1,Mild,Mild
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
4,4,Proliferative,Proliferative
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
3,3,Severe,Severe
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
3,3,Severe,Severe
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
3,3,Severe,Severe
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
4,4,Proliferative,Proliferative
0,0,No DR,No DR
1,1,Mild,Mild
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
4,4,Proliferative,Proliferative
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
3,3,Severe,Severe
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
4,4,Proliferative,Proliferative
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
2,2,Moderate,Moderate
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
1,1,Mild,Mild
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
0,0,No DR,No DR
